curriculum_level,episode,seed,return,length,outcome,success,collision,timeout,initial_distance_m,final_distance_m,minimum_clearance_m,path_length_m,path_efficiency,mean_linear_velocity_mps,mean_absolute_angular_velocity_radps,route_waypoints_completed,route_waypoint_count,stuck_steps,stuck_step_fraction,start_room,goal_room
2,12,90012,84.59517584048635,407,success,1,0,0,10.292927393549649,0.24577980934108243,0.337752103805542,10.887052215473748,0.9454283115240625,0.20331593672458897,0.16636021545946503,4,4,0,0.0,laboratory,office
2,13,90013,49.287057934322675,165,success,1,0,0,4.773013258887187,0.22643268814913514,0.3142241835594177,4.698029613053979,1.0159606584055703,0.21745855844382084,0.1431780871460708,2,2,0,0.0,laboratory,meeting
2,14,90014,51.09026251238721,153,success,1,0,0,3.9643548524529226,0.23782915693431972,0.7169658541679382,4.321110483337433,0.9174389008889751,0.21609770940020193,0.2049395990424053,2,2,0,0.0,meeting,office
2,15,90015,59.81342098130603,248,success,1,0,0,5.403886036800597,0.24601411608759718,0.3625146746635437,6.738001206896342,0.802001345928778,0.2065130080088913,0.22089902383008703,2,2,0,0.0,office,meeting
2,16,90016,79.23361351970561,329,success,1,0,0,8.212154313509807,0.241176301135399,0.5074138045310974,9.273433514723155,0.8855570377974471,0.21411965601712374,0.21341468178735065,4,4,0,0.0,office,laboratory
2,17,90017,58.98763746430363,291,success,1,0,0,5.486612448164627,0.2315351931342271,0.27141308784484863,7.089493185806403,0.7739075705932209,0.18524405863328078,0.22793738969503277,2,2,0,0.0,meeting,laboratory
2,18,90018,84.66764262098268,374,success,1,0,0,8.893870752092482,0.23551898694069306,0.42766252160072327,10.343487230798276,0.8598522484380814,0.20950524370748808,0.20421993181378367,4,4,0,0.0,laboratory,office
2,19,90019,92.48239014922243,490,success,1,0,0,12.165800915938787,0.2259725771676146,0.315093994140625,13.357923404500356,0.9107554031819095,0.20710041945686145,0.17051857961282343,4,4,0,0.0,laboratory,office
2,20,90020,70.29595919346666,314,success,1,0,0,7.690716175948084,0.24588833285349027,0.44183942675590515,8.405724490009248,0.9149379312977722,0.20348816633129577,0.19624893077197603,2,2,0,0.0,meeting,laboratory
2,21,90021,59.92979544476614,244,success,1,0,0,6.06715664332446,0.22933444269322817,0.4179544150829315,6.765830792750649,0.8967349064988746,0.21035309277138994,0.2565694930345358,2,2,0,0.0,meeting,office
2,22,90022,28.987209889375933,386,collision,0,1,0,9.439901966377967,1.9954311224953674,0.21355785429477692,10.439758468355647,nan,0.2055486099784856,0.14458720988028959,4,4,0,0.0,laboratory,office
2,23,90023,62.50811672907574,271,success,1,0,0,7.256605440264382,0.24653699343655885,0.32501479983329773,7.573749489218073,0.9581258860746352,0.2116613448408477,0.19648260839175644,2,2,0,0.0,office,meeting
2,24,90024,87.69157765101215,409,success,1,0,0,9.045118638533024,0.22436369274666945,0.4143989086151123,11.270255745560133,0.8025655178318654,0.2091803141029365,0.2199113589680818,4,4,0,0.0,office,laboratory
