update,total_timesteps,curriculum_level,rollout_size,episodes_completed,steps_per_second,policy_loss,value_loss,entropy,total_loss,approximate_kl,clip_fraction,gradient_norm,explained_variance,optimiser_steps,epochs_completed,early_stopped,learning_rate,actor_log_std_linear,actor_log_std_angular,raw_advantage_mean,raw_advantage_std,final_advantage_mean,final_advantage_std,recent_success_rate
116,243472,2,2048,1063,7.42914689705802,-0.012615472082688938,5.272261765412987,2.824105031043291,2.5952743721194564,0.009156874851032625,0.11904296875,1.7979721770621837,0.357293963432312,320.0,10.0,0.0,0.00017826399999999997,-0.054406940937042236,0.03888142481446266,0.636289656162262,3.2578651905059814,6.984919309616089e-09,0.9999999403953552,0.84
117,245520,2,2048,1069,7.447807283619806,-0.008381484093843029,4.451176483742893,2.8197096176445484,2.1890096716582774,0.008228107052855194,0.10693359375,1.7238323690369726,0.44259655475616455,320.0,10.0,0.0,0.00017723999999999998,-0.055547185242176056,0.032977137714624405,0.3529055714607239,3.0289523601531982,-2.7939677238464355e-09,1.0,0.82
118,247568,2,2048,1074,7.4463579747700175,-0.013150283775757998,1.8931401324924082,2.803821896016598,0.9053815629333257,0.008215896309411618,0.1044921875,1.7515539802610873,0.46485304832458496,320.0,10.0,0.0,0.000176216,-0.06459668278694153,0.017557352781295776,0.47820842266082764,1.9575048685073853,-1.1408701539039612e-08,0.9999999403953552,0.82
119,249616,2,2048,1081,7.435920395888956,-0.012882963745505549,5.075124060362578,2.7981977708637715,2.496697090868838,0.0064219949461403305,0.07734375,1.5682781731709838,0.3582073450088501,320.0,10.0,0.0,0.00017519199999999999,-0.06175895780324936,0.0265424232929945,0.4837145209312439,3.2226593494415283,9.313225746154785e-10,1.0,0.82
120,251664,2,2048,1089,7.429853896247285,-0.009818284527864308,6.409840791672468,2.806818763911724,3.167033932497725,0.007672433795232791,0.100634765625,1.8860775613225997,0.5134226679801941,320.0,10.0,0.0,0.00017416799999999996,-0.059531524777412415,0.029879681766033173,-0.055452872067689896,3.6468026638031006,1.862645149230957e-09,1.0,0.82
121,253712,2,2048,1095,7.448167094375061,-0.01417401184735354,9.12810588888824,2.807220556586981,4.521806731726974,0.007917993562296033,0.09375,1.982548207230866,0.5014259815216064,320.0,10.0,0.0,0.000173144,-0.06705881655216217,0.0345454216003418,-0.9035271406173706,4.251302719116211,-1.909211277961731e-08,1.0,0.76
122,255760,2,2048,1104,7.419923019051913,-0.016991206965758465,10.146896337997168,2.809465929120779,5.028362301969901,0.007815689913695679,0.1037109375,1.9338366309180857,0.3632369041442871,320.0,10.0,0.0,0.00017211999999999997,-0.05735708028078079,0.02958652190864086,-0.2777804732322693,4.563039779663086,9.313225746154785e-10,1.0,0.78
123,257808,2,2048,1111,7.4384406778283045,-0.012581875306204892,4.6476882483810185,2.814707565307617,2.283115163492039,0.010559359769104049,0.128564453125,1.7175334308296442,0.3246905207633972,320.0,10.0,0.0,0.00017109599999999998,-0.057672638446092606,0.03734426945447922,0.42782244086265564,3.085878372192383,3.259629011154175e-09,1.0,0.78
124,259856,2,2048,1117,7.446533881341508,-0.014118063251953573,1.6504874310456217,2.8113453805446627,0.7830122007522732,0.010940841841511428,0.141552734375,1.704986553452909,0.6195049285888672,320.0,10.0,0.0,0.00017007199999999998,-0.0558682344853878,0.022878745570778847,0.551109254360199,1.811874508857727,8.149072527885437e-09,1.0,0.8
125,261904,2,2048,1125,7.42036631882872,-0.013408030825667083,3.97056148275733,2.8129238903522493,1.9437434697058051,0.009464535559527577,0.119482421875,1.873346316628158,0.6566210985183716,320.0,10.0,0.0,0.000169048,-0.038676753640174866,0.020836645737290382,0.30803680419921875,2.877927303314209,2.7939677238464355e-09,1.0,0.78
